Flight No.,FlightNumber,Date,Time,Launchoutcome,Outcome,BoosterVersion,Version Booster,Launch site,LaunchSite,Longitude,Latitude,Payload,PayloadMass,Orbit,Customer,Serial,Flights,GridFins,Reused,Legs,Block,ReusedCount,Booster landing,LandingPad
1,1,2006-03-24T22:30:00.000Z,22:30:00,False,False,Falcon 1,Falcon 1,Kwajalein Atoll Omelek Island,Kwajalein Atoll Omelek Island,167.7431292,9.0477206,FalconSAT-2,20.0,LEO,DARPA,Merlin1A,,False,False,False,,,No Attempt,
2,2,2007-03-21T01:10:00.000Z,01:10:00,False,False,Falcon 1,Falcon 1,Kwajalein Atoll Omelek Island,Kwajalein Atoll Omelek Island,167.7431292,9.0477206,DemoSAT,,LEO,DARPA,Merlin2A,,False,False,False,,,No Attempt,
3,3,2008-08-03T03:34:00.000Z,03:34:00,False,False,Falcon 1,Falcon 1,Kwajalein Atoll Omelek Island,Kwajalein Atoll Omelek Island,167.7431292,9.0477206,"Trailblazer, PRESat",,LEO,"NASA, ORS",Merlin1C,,False,False,False,,,No Attempt,
4,4,2008-09-28T23:15:00.000Z,23:15:00,True,True,Falcon 1,Falcon 1,Kwajalein Atoll Omelek Island,Kwajalein Atoll Omelek Island,167.7431292,9.0477206,RatSat,165.0,LEO,SpaceX,Merlin2C,,False,False,False,,,No Attempt,
5,5,2009-07-13T03:35:00.000Z,03:35:00,True,True,Falcon 1,Falcon 1,Kwajalein Atoll Omelek Island,Kwajalein Atoll Omelek Island,167.7431292,9.0477206,RazakSAT,200.0,LEO,ATSB,Merlin3C,,False,False,False,,,No Attempt,
6,6,2010-06-04T18:45:00.000Z,18:45:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Dragon Qualification Unit,,LEO,SpaceX,B0003,,False,False,False,,,No Attempt,
7,7,2010-12-08T15:43:00.000Z,15:43:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,"COTS Demo Flight 1, Cubesats",,LEO,"NASA(COTS), NRO",B0004,,False,False,False,,,No Attempt,
8,8,2012-05-22T07:44:00.000Z,07:44:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,COTS Demo Flight 2,525.0,LEO,NASA(COTS),B0005,,False,False,False,,,No Attempt,
9,9,2012-10-08T00:35:00.000Z,00:35:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,"CRS-1, Orbcomm-OG2",800.0,"ISS, LEO","NASA (CRS), Orbcomm",B0006,,False,False,False,,,No Attempt,
10,10,2013-03-01T19:10:00.000Z,19:10:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,CRS-2,677.0,ISS,NASA (CRS),B0007,,False,False,False,,,No Attempt,
11,11,2013-09-29T16:00:00.000Z,16:00:00,True,True,Falcon 9,Falcon 9,Vandenberg Space Force Base Space Launch Complex 4E,Vandenberg Space Force Base Space Launch Complex 4E,-120.610829,34.632093,CASSIOPE,500.0,PO,MDA,B1003,,False,False,False,,,Failure,
12,12,2013-12-03T22:41:00.000Z,22:41:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,SES-8,3170.0,GTO,SES,B1004,,False,False,False,,,No Attempt,
13,13,2014-01-06T18:06:00.000Z,18:06:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Thaicom 6,3325.0,GTO,Thaicom,B1005,,False,False,False,,,No Attempt,
14,14,2014-04-18T19:25:00.000Z,19:25:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,CRS-3,2296.0,ISS,NASA (CRS),B1006,,False,False,True,,,Success,
15,15,2014-07-14T15:15:00.000Z,15:15:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Orbcomm-OG2-M1,1316.0,LEO,Orbcomm,B1007,,False,False,True,,,Success,
16,16,2014-08-05T08:00:00.000Z,08:00:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,AsiaSat 8,4535.0,GTO,AsiaSat,B1008,,False,False,False,,,No Attempt,
17,17,2014-09-07T05:00:00.000Z,05:00:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,AsiaSat 6,4428.0,GTO,AsiaSat,B1011,,False,False,False,,,No Attempt,
18,18,2014-09-21T05:52:00.000Z,05:52:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,CRS-4,2216.0,ISS,NASA (CRS),B1010,,False,False,False,,,Failure,
19,19,2015-01-10T09:47:00.000Z,09:47:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,CRS-5,2395.0,ISS,NASA (CRS),B1012,,True,False,True,,,Failure,Just Read The Instructions V1
20,20,2015-02-11T23:03:00.000Z,23:03:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,DSCOVR,570.0,ES-L1,"NASA, NOAA, USAF",B1013,,True,False,True,,,Success,
